"Variant ID","Product Name","Product Type","Product Color","Product Size","Product Image","Product Weight (oz)","Height (In)","Length (In)","Width (In)",Categories,"Product Price",Notes
22178,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, Irish Green)",Apparel,"Irish Green",S,https://files.cdn.printful.com/products/849/22178_1738763806.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22179,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, Navy)",Apparel,Navy,S,https://files.cdn.printful.com/products/849/22179_1738763826.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22180,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, Purple)",Apparel,Purple,S,https://files.cdn.printful.com/products/849/22180_1738763836.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22181,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, RS Sport Grey)",Apparel,"RS Sport Grey",S,https://files.cdn.printful.com/products/849/22181_1738764040.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22182,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, Red)",Apparel,Red,S,https://files.cdn.printful.com/products/849/22182_1738763978.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22183,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, Royal)",Apparel,Royal,S,https://files.cdn.printful.com/products/849/22183_1738763989.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22184,"Women's Basic Softstyle T-Shirt | Gildan 64000L (S, White)",Apparel,White,S,https://files.cdn.printful.com/products/849/22184_1738764051.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.25,
22185,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Azalea)",Apparel,Azalea,M,https://files.cdn.printful.com/products/849/22185_1738763702.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22186,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Black)",Apparel,Black,M,https://files.cdn.printful.com/products/849/22186_1738763743.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22187,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Charcoal)",Apparel,Charcoal,M,https://files.cdn.printful.com/products/849/22187_1738763763.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
22188,"Women's Basic Softstyle T-Shirt | Gildan 64000L (M, Heliconia)",Apparel,Heliconia,M,https://files.cdn.printful.com/products/849/22188_1738763784.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.25,
